-0.70711+0.70711i
-0.70711+0.50508i
-0.70711+0.30305i
-0.70711+0.10102i
-0.70711-0.10102i
-0.70711-0.30305i
-0.70711-0.50508i
-0.70711-0.70711i
-0.50508+0.70711i
-0.50508+0.50508i
-0.50508+0.30305i
-0.50508+0.10102i
-0.50508-0.10102i
-0.50508-0.30305i
-0.50508-0.50508i
-0.50508-0.70711i
-0.30305+0.70711i
-0.30305+0.50508i
-0.30305+0.30305i
-0.30305+0.10102i
-0.30305-0.10102i
-0.30305-0.30305i
-0.30305-0.50508i
-0.30305-0.70711i
-0.10102+0.70711i
-0.10102+0.50508i
-0.10102+0.30305i
-0.10102+0.10102i
-0.10102-0.10102i
-0.10102-0.30305i
-0.10102-0.50508i
-0.10102-0.70711i
0.10102+0.70711i
0.10102+0.50508i
0.10102+0.30305i
0.10102+0.10102i
0.10102-0.10102i
0.10102-0.30305i
0.10102-0.50508i
0.10102-0.70711i
0.30305+0.70711i
0.30305+0.50508i
0.30305+0.30305i
0.30305+0.10102i
0.30305-0.10102i
0.30305-0.30305i
0.30305-0.50508i
0.30305-0.70711i
0.50508+0.70711i
0.50508+0.50508i
0.50508+0.30305i
0.50508+0.10102i
0.50508-0.10102i
0.50508-0.30305i
0.50508-0.50508i
0.50508-0.70711i
0.70711+0.70711i
0.70711+0.50508i
0.70711+0.30305i
0.70711+0.10102i
0.70711-0.10102i
0.70711-0.30305i
0.70711-0.50508i
0.70711-0.70711i
