-0.77302+0.99388i
-0.77302+1.2147i
-0.11043+1.2147i
-0.11043+0.99388i
-0.11043-0.99388i
-0.11043-1.2147i
-0.77302-1.2147i
-0.77302-0.99388i
-0.55216+0.99388i
-0.55216+1.2147i
-0.33129+1.2147i
-0.33129+0.99388i
-0.33129-0.99388i
-0.33129-1.2147i
-0.55216-1.2147i
-0.55216-0.99388i
-1.2147+0.77302i
-1.2147+0.55216i
-1.2147+0.33129i
-1.2147+0.11043i
-1.2147-0.11043i
-1.2147-0.33129i
-1.2147-0.55216i
-1.2147-0.77302i
-0.99388+0.77302i
-0.99388+0.55216i
-0.99388+0.33129i
-0.99388+0.11043i
-0.99388-0.11043i
-0.99388-0.33129i
-0.99388-0.55216i
-0.99388-0.77302i
-0.77302+0.77302i
-0.77302+0.55216i
-0.77302+0.33129i
-0.77302+0.11043i
-0.77302-0.11043i
-0.77302-0.33129i
-0.77302-0.55216i
-0.77302-0.77302i
-0.55216+0.77302i
-0.55216+0.55216i
-0.55216+0.33129i
-0.55216+0.11043i
-0.55216-0.11043i
-0.55216-0.33129i
-0.55216-0.55216i
-0.55216-0.77302i
-0.33129+0.77302i
-0.33129+0.55216i
-0.33129+0.33129i
-0.33129+0.11043i
-0.33129-0.11043i
-0.33129-0.33129i
-0.33129-0.55216i
-0.33129-0.77302i
-0.11043+0.77302i
-0.11043+0.55216i
-0.11043+0.33129i
-0.11043+0.11043i
-0.11043-0.11043i
-0.11043-0.33129i
-0.11043-0.55216i
-0.11043-0.77302i
0.11043+0.77302i
0.11043+0.55216i
0.11043+0.33129i
0.11043+0.11043i
0.11043-0.11043i
0.11043-0.33129i
0.11043-0.55216i
0.11043-0.77302i
0.33129+0.77302i
0.33129+0.55216i
0.33129+0.33129i
0.33129+0.11043i
0.33129-0.11043i
0.33129-0.33129i
0.33129-0.55216i
0.33129-0.77302i
0.55216+0.77302i
0.55216+0.55216i
0.55216+0.33129i
0.55216+0.11043i
0.55216-0.11043i
0.55216-0.33129i
0.55216-0.55216i
0.55216-0.77302i
0.77302+0.77302i
0.77302+0.55216i
0.77302+0.33129i
0.77302+0.11043i
0.77302-0.11043i
0.77302-0.33129i
0.77302-0.55216i
0.77302-0.77302i
0.99388+0.77302i
0.99388+0.55216i
0.99388+0.33129i
0.99388+0.11043i
0.99388-0.11043i
0.99388-0.33129i
0.99388-0.55216i
0.99388-0.77302i
1.2147+0.77302i
1.2147+0.55216i
1.2147+0.33129i
1.2147+0.11043i
1.2147-0.11043i
1.2147-0.33129i
1.2147-0.55216i
1.2147-0.77302i
0.55216+0.99388i
0.55216+1.2147i
0.33129+1.2147i
0.33129+0.99388i
0.33129-0.99388i
0.33129-1.2147i
0.55216-1.2147i
0.55216-0.99388i
0.77302+0.99388i
0.77302+1.2147i
0.11043+1.2147i
0.11043+0.99388i
0.11043-0.99388i
0.11043-1.2147i
0.77302-1.2147i
0.77302-0.99388i
