-0.5145+0.85749i
-0.1715+0.85749i
-0.1715-0.85749i
-0.5145-0.85749i
-0.85749+0.5145i
-0.85749+0.1715i
-0.85749-0.1715i
-0.85749-0.5145i
-0.5145+0.5145i
-0.5145+0.1715i
-0.5145-0.1715i
-0.5145-0.5145i
-0.1715+0.5145i
-0.1715+0.1715i
-0.1715-0.1715i
-0.1715-0.5145i
0.1715+0.5145i
0.1715+0.1715i
0.1715-0.1715i
0.1715-0.5145i
0.5145+0.5145i
0.5145+0.1715i
0.5145-0.1715i
0.5145-0.5145i
0.85749+0.5145i
0.85749+0.1715i
0.85749-0.1715i
0.85749-0.5145i
0.5145+0.85749i
0.1715+0.85749i
0.1715-0.85749i
0.5145-0.85749i
