-0.67082+1.118i
-0.22361+1.118i
-0.22361-1.118i
-0.67082-1.118i
-1.118+0.67082i
-1.118+0.22361i
-1.118-0.22361i
-1.118-0.67082i
-0.67082+0.67082i
-0.67082+0.22361i
-0.67082-0.22361i
-0.67082-0.67082i
-0.22361+0.67082i
-0.22361+0.22361i
-0.22361-0.22361i
-0.22361-0.67082i
0.22361+0.67082i
0.22361+0.22361i
0.22361-0.22361i
0.22361-0.67082i
0.67082+0.67082i
0.67082+0.22361i
0.67082-0.22361i
0.67082-0.67082i
1.118+0.67082i
1.118+0.22361i
1.118-0.22361i
1.118-0.67082i
0.67082+1.118i
0.22361+1.118i
0.22361-1.118i
0.67082-1.118i
