-1.0801+1.0801i
-1.0801+0.77152i
-1.0801+0.46291i
-1.0801+0.1543i
-1.0801-0.1543i
-1.0801-0.46291i
-1.0801-0.77152i
-1.0801-1.0801i
-0.77152+1.0801i
-0.77152+0.77152i
-0.77152+0.46291i
-0.77152+0.1543i
-0.77152-0.1543i
-0.77152-0.46291i
-0.77152-0.77152i
-0.77152-1.0801i
-0.46291+1.0801i
-0.46291+0.77152i
-0.46291+0.46291i
-0.46291+0.1543i
-0.46291-0.1543i
-0.46291-0.46291i
-0.46291-0.77152i
-0.46291-1.0801i
-0.1543+1.0801i
-0.1543+0.77152i
-0.1543+0.46291i
-0.1543+0.1543i
-0.1543-0.1543i
-0.1543-0.46291i
-0.1543-0.77152i
-0.1543-1.0801i
0.1543+1.0801i
0.1543+0.77152i
0.1543+0.46291i
0.1543+0.1543i
0.1543-0.1543i
0.1543-0.46291i
0.1543-0.77152i
0.1543-1.0801i
0.46291+1.0801i
0.46291+0.77152i
0.46291+0.46291i
0.46291+0.1543i
0.46291-0.1543i
0.46291-0.46291i
0.46291-0.77152i
0.46291-1.0801i
0.77152+1.0801i
0.77152+0.77152i
0.77152+0.46291i
0.77152+0.1543i
0.77152-0.1543i
0.77152-0.46291i
0.77152-0.77152i
0.77152-1.0801i
1.0801+1.0801i
1.0801+0.77152i
1.0801+0.46291i
1.0801+0.1543i
1.0801-0.1543i
1.0801-0.46291i
1.0801-0.77152i
1.0801-1.0801i
