-0.70711+0.70711i
-0.70711+0.2357i
-0.70711-0.2357i
-0.70711-0.70711i
-0.2357+0.70711i
-0.2357+0.2357i
-0.2357-0.2357i
-0.2357-0.70711i
0.2357+0.70711i
0.2357+0.2357i
0.2357-0.2357i
0.2357-0.70711i
0.70711+0.70711i
0.70711+0.2357i
0.70711-0.2357i
0.70711-0.70711i
